method,n,time
HEADSS,1500,0.8622229099273682
HEADSS2 (1 core),1500,0.7809693813323975
HEADSS2 (4 cores),1500,0.3956897258758545
HEADSS,3000,0.40404343605041504
HEADSS2 (1 core),3000,0.3951709270477295
HEADSS2 (4 cores),3000,0.2712242603302002
HEADSS,6000,0.3640279769897461
HEADSS2 (1 core),6000,0.36582446098327637
HEADSS2 (4 cores),6000,0.3142368793487549
HEADSS,12000,0.7041020393371582
HEADSS2 (1 core),12000,0.647648811340332
HEADSS2 (4 cores),12000,0.5010960102081299
HEADSS,24000,2.134394884109497
HEADSS2 (1 core),24000,1.8684320449829102
HEADSS2 (4 cores),24000,1.1534819602966309
HEADSS,48000,5.8576672077178955
HEADSS2 (1 core),48000,4.3759026527404785
HEADSS2 (4 cores),48000,2.7675511837005615
HEADSS,96000,6.514402866363525
HEADSS2 (1 core),96000,5.609774351119995
HEADSS2 (4 cores),96000,3.9168803691864014
